total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
100000.00000000,1737.90745150,98262.09254850,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '1737.90745150', 'maintenance': '211.04082938', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
99932.46693460,1948.94828088,97983.51865372,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '1737.90745150', 'maintenance': '211.04082938', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
99932.46693460,1948.94828088,97983.51865372,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '1737.90745150', 'maintenance': '211.04082938', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
99932.46693460,1948.94828088,97983.51865372,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '868.95372575', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
99721.93953796,868.95372575,98852.98581221,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '868.95372575', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
96961.28439628,0.00000000,96961.28439628,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96961.28439628,0.00000000,96961.28439628,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96847.42651228,177.90294375,96669.52356853,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '177.90294375', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
96847.42651228,177.90294375,96669.52356853,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '177.90294375', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
