scenario_id,family,source_family,source_direction,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,entry_execution_mode,entry_order_type,entry_expiry_ts_ns,entry_client_order_id,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,sac_entry_confirmation,failed_acceptance_trap,favorable_drift_guard_enabled,causal_exit_reason_codes,causal_exit_open_position,actual_entry_price,opened_ts_ns,opened_bar_index,path_observations,mfe_price,mae_price,mfe_price_distance,mae_price_distance,mfe_stop_units,mae_stop_units,mfe_atr,mae_atr,mfe_close_net_r_after_cost,mfe_intrabar_net_r_after_cost,first_close_half_r_ts_ns,first_close_one_r_ts_ns,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
CIRB-1713799500000000000-000002:ENTRY,CIRB_D_R,CIRB_D_R,SHORT,SHORT,1713799560000000000,2024-04-22,15,1713799560000000000,65750.2,65787.54999999999,CROWD_DISCHARGE_HALF_BACK_LIMIT,LIMIT,1.713799800000001e+18,O-20240422-152600-001-000-1,65831.7,65600.7,PRE_SHOCK_FAST_RANGE_LIQUIDITY,65824.9,84.98499999999913,21.98,100000.0,3000.0,136.48227416000992,0.6937034540396932,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,65787.4,1713799620000000000,925,6,65724.2,65866.6,63.19999999999709,79.20000000001164,1.4266365688485991,1.7878103837473236,0.7436606459963256,0.9319291639702588,-0.40280871884914704,-0.2129076481092012,,,65831.8,1713799920000000000,2024-04-22,15,5.0,-3001.0050112,-0.0006749012728882542,-1.0003350037333334,STOP,
CIRB-1713883500000000000-000020:ENTRY,CIRB_D_R,CIRB_D_R,LONG,LONG,1713883860000000000,2024-04-23,14,1713883860000000000,66735.7,66735.7,MARKET_AFTER_DEFENSE,MARKET,,O-20240423-145100-001-000-7,66523.5,67099.7,PRE_SHOCK_FAST_RANGE_LIQUIDITY,66531.8,103.30999999999986,9.52,96998.9949888,2909.969849664,305.6462646399986,0.8837510915376363,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,66735.8,1713883860000000000,2330,27,66964.9,66501.9,229.09999999999127,233.90000000000873,1.0791333019311735,1.1017428167687495,2.2175975220210202,2.264059626367332,0.20599037934965084,0.44269970110501367,,,66523.4,1713885420000000000,2024-04-23,15,26.0,-2910.0873088,-0.003182699540576553,-1.000040364382474,STOP,
CIRB-1713970800000000000-000028:ENTRY,CIRB_D_R,CIRB_D_R,SHORT,SHORT,1713970860000000000,2024-04-24,15,1713970860000000000,65136.0,65136.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240424-150100-001-000-13,65248.1,64706.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,65237.0,138.20000000000036,13.868,94088.90768,2822.6672304,203.52483919999685,1.6652050989558296,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,65135.9,1713970860000000000,3780,22,64705.4,65221.1,430.5,85.19999999999709,3.8368983957220246,0.7593582887700472,3.115050651230093,0.616497829232973,1.1976138684501427,1.6676642091163743,1.71397176e+18,1.71397212e+18,64706.1,1713972120000000000,2024-04-24,15,21.0,4700.0122008,0.006598511727020013,1.6650961013686199,TARGET,
CIRB-1713976200000000000-000030:ENTRY,CIRB_D_R,CIRB_D_R,LONG,LONG,1713976440000000000,2024-04-24,16,1713976440000000000,64524.1,64524.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240424-163400-001-000-16,64306.59999999999,64882.899999999994,PRE_SHOCK_DEALING_RANGE_EQUILIBRIUM,64315.9,115.975,9.626,98788.9198808,2963.667596424,307.8595053999955,0.8707383085401477,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,64524.19999999999,1713976440000000000,3873,41,65006.2,64455.0,482.0000000000073,69.19999999998981,2.215073529411813,0.31801470588230824,4.15606811812897,0.5966803190341868,1.007555117055716,1.2704779717352621,1.713978e+18,1.71397884e+18,64882.8,1713978840000000000,2024-04-24,17,40.0,2579.9133526,0.005557604743646773,0.870513736328918,TARGET,
CIRB-1713985500000000000-000032:ENTRY,CIRB_D_R,CIRB_D_R,LONG,LONG,1713985560000000000,2024-04-24,19,1713985560000000000,64104.6,64104.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240424-190600-001-000-19,63684.3,64663.00000000001,PRE_SHOCK_FAST_RANGE_LIQUIDITY,63695.0,133.18999999999943,5.963,101368.8332334,3041.064997002,509.9074613599996,0.917936518817764,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,64104.700000000004,1713985560000000000,4025,46,64464.6,63980.5,359.8999999999942,124.20000000000437,0.8560894386298595,0.29543292102760216,2.7021548164276274,0.9325024401231692,0.5259827720203542,0.5289224230621373,1.7139873e+18,,64320.600000000006,1713988260000000000,2024-04-24,19,45.0,751.35165527,0.0033679277806463715,0.24706859472280654,TIMEOUT,TIMEOUT
CIRB-1714036200000000000-000038:ENTRY,CIRB_D_R,CIRB_D_R,SHORT,SHORT,1714036260000000000,2024-04-25,9,1714036260000000000,64025.2,64025.2,MARKET_AFTER_DEFENSE,MARKET,,O-20240425-091100-001-000-26,64184.700000000004,63712.8,PRE_SHOCK_FAST_RANGE_LIQUIDITY,64180.0,58.505000000000656,12.282,102120.18488867,3063.6055466601,249.42731628000035,0.8931796377502759,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,64025.100000000006,1714036260000000000,4870,46,63793.3,64147.2,231.8000000000029,122.09999999999127,1.4523809523809839,0.7650375939849147,3.962054525254257,2.08700111101598,0.49679554688750643,0.5698137722832844,,,63912.1,1714038960000000000,2024-04-25,9,45.0,287.93871672,0.0017649328154115693,0.09398687668322926,TIMEOUT,TIMEOUT
CIRB-1714052700000000000-000041:ENTRY,CIRB_D_R,CIRB_D_R,SHORT,SHORT,1714052940000000000,2024-04-25,13,1714052940000000000,63295.1,63295.1,MARKET_AFTER_DEFENSE,MARKET,,O-20240425-134900-001-000-30,63534.1,62901.7,PRE_SHOCK_FAST_RANGE_LIQUIDITY,63525.7,105.5200000000008,9.365,102408.12360539,3072.2437081617,328.02206911999684,0.9293955154233142,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,63295.00000000001,1714052940000000000,5148,19,63203.7,63566.0,91.30000000001019,270.9999999999927,0.38184859891264544,1.1334169803429637,0.8652388172859126,2.568233510234938,-0.0694063056826344,0.007776641391396761,,,63534.200000000004,1714054020000000000,2024-04-25,14,18.0,-3071.5368206,-0.0037791294731020944,-0.9997699116252327,STOP,
CIRB-1714056900000000000-000043:ENTRY,CIRB_D_R,CIRB_D_R,LONG,LONG,1714057140000000000,2024-04-25,14,1714057140000000000,63321.6,63321.6,MARKET_AFTER_DEFENSE,MARKET,,O-20240425-145900-001-000-33,63175.5,63642.700000000004,PRE_SHOCK_FAST_RANGE_LIQUIDITY,63182.4,85.62999999999957,12.692,99336.58678479,2980.0976035436997,234.79840472000006,0.9881881023710156,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,63321.7,1714057140000000000,5218,29,63677.4,63203.5,355.70000000000437,118.19999999999709,2.432968536251788,0.808481532147739,4.153918019385801,1.3803573513955119,0.8843413150426634,1.1354448098483838,1.71405864e+18,,63642.59999999999,1714058820000000000,2024-04-25,15,28.0,2944.86117308,0.005067772975141132,0.9881760817424907,TARGET,
CIRB-1714144200000000000-000054:ENTRY,CIRB_T_C,CIRB_T_C,SHORT,SHORT,1714145100000000000,2024-04-26,15,1714145100000000000,63446.0,63446.0,MARKET_AFTER_DEFENSE,MARKET,,O-20240426-152500-001-000-39,63803.80000000001,63026.59999999999,DELEVERAGING_RANGE_EXTENSION,63426.6,112.60999999999986,6.863,102281.44795787,3068.4434387361,447.08366616000615,0.7396136451150482,0.0007,,False,True,"('DELEVERAGING_CONTINUATION_THESIS_INVALIDATED',)",True,63445.9,1714145100000000000,6684,46,63291.5,63644.0,154.40000000000146,198.09999999999854,0.4314054205085155,0.553506566079893,1.3711038096083976,1.7591688127164444,0.06544296339722036,0.1464688266570793,,,63410.1,1714147800000000000,2024-04-26,16,45.0,-363.7335096,0.0005642602595282423,-0.11854007312248936,TIMEOUT,TIMEOUT
CIRB-1714275300000000000-000074:ENTRY,CIRB_D_R,CIRB_D_R,LONG,LONG,1714275480000000000,2024-04-28,3,1714275480000000000,64163.9,64071.9,CROWD_DISCHARGE_HALF_BACK_LIMIT,LIMIT,1.714275600000001e+18,O-20240428-033800-001-000-46,63974.59999999999,64350.0,PRE_SHOCK_FAST_RANGE_LIQUIDITY,63979.9,66.3099999999984,16.338,101917.71444827,3057.5314334481,187.13734663999804,1.004634688775774,0.0007,,False,True,"('DELEVERAGING_REVERSAL_THESIS_INVALIDATED',)",True,64072.0,1714275600000000000,8858,13,64121.8,63966.6,49.80000000000291,105.40000000000146,0.511293634496904,1.082135523613881,0.7510179460112217,1.5895038455738804,-0.4414186237176306,-0.214471673990373,,,63974.5,1714276320000000000,2024-04-28,3,12.0,-3057.3716019,-0.0015217255587464103,-0.9999477252968354,STOP,
